,adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
502,False,/qSOMdbZ6AOdHR999HWwVAh6ALFI.jpg,"[28, 80, 53]",1249289,Alarum,en,Alarum,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",6.9268,/ckyYZf5cGTSOwF8LWIRqeThyh18.jpg,2025-01-16,False,False,5.6,399
503,False,/qXOxYzPSPY9viZTgs7O6vNBOB7Y.jpg,"[16, 14, 12, 18]",555604,Guillermo del Toro's Pinocchio,en,Guillermo del Toro's Pinocchio,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",6.9241,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,2022-11-09,False,False,8.018,3331
504,False,/5OEcsHKZy9TLFz9qXLp5NJN9K8e.jpg,"[16, 12, 14, 35]",1064307,Spermageddon,no,Spermageddon,"Two narrative threads: one is an emerging love story between awkward teens Jens and Lisa, who are having sex for the first time; the other, an eventful quest of Simon the Semen and his friends to reach the golden goal, the Egg.",6.9218,/n7SFxle8CVzMXzfV8GNCXqdg78m.jpg,2024-12-28,False,False,6.424,131
505,False,/xtOCTmGemASooRkAxRorYODig1p.jpg,"[28, 80, 18]",770906,Salaar: Part 1 - Ceasefire,te,సలార్: పార్ట్‌ 1 – సీజ్‌ఫైర్‌,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",6.8985,/nlu9WbcetNFRGXXPWITr30ob7W6.jpg,2023-12-21,False,False,6.674,112
506,False,/qd4EKTuudkws9lW76Dn9C0tnuVA.jpg,"[878, 27]",536554,M3GAN,en,M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",6.8872,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,2022-12-28,False,False,7.024,4818
507,False,/uUJp5I4IbzuhdUiEx4R9OAoFpbz.jpg,"[27, 9648]",951491,Saw X,en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",6.8731,/u7Lp1Hi8aBS73jv4KRMIv5aK4ax.jpg,2023-09-27,False,False,7.163,2362
508,False,/jdZM1Gs6DtRGvosgqaXRrIkvYX7.jpg,"[10749, 18]",762975,Purple Hearts,en,Purple Hearts,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",6.8564,/4JyNWkryifWbWXJyxcWh3pVya6N.jpg,2022-07-29,False,False,8.045,2873
509,False,/503LUrI9juBk1rktOPzxyMUTDEu.jpg,"[28, 14, 27]",957452,The Crow,en,The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",6.854,/g8TbOXrNMuqq7AaKqdvqS2oG4ob.jpg,2024-08-21,False,False,5.795,1274
510,False,/3xvdNyZ9WsVJpyeGhm85fukeZz4.jpg,"[878, 9648, 53]",1001835,Wifelike,en,Wifelike,"A grieving detective in the near-future hunts down criminals who trade artificial humans on the black market. In the fight to end AI exploitation, an underground resistance attempts to infiltrate him by sabotaging the programming of the artificial human assigned as his companion to behave like his late wife. She begins to question her reality as memories of a past life begin to surface in a world where nothing is as it seems.",6.8439,/tea2gDZPxw0wfKC2S2VRWHagtt4.jpg,2022-08-12,False,False,6.6,323
511,False,/iwCti1LGupsMjCzuhaccUA4OZfo.jpg,"[27, 9648]",745881,The Medium,th,ร่างทรง,"A shaman's family learn that their goddess is supposedly controlling one of them. However, their lives take a frightening turn when they realise the goddess has nothing to do with the possession.",6.838,/tWoSE8SH6XhgWKHIL3p0sj7lA3V.jpg,2021-07-14,False,False,6.995,743
512,False,/168dp7vy3kwOehcMpFaLOfB52NV.jpg,"[27, 9648, 53]",1330421,Bone Lake,en,Bone Lake,"A couple’s romantic vacation at a secluded lakeside estate is upended when they are forced to share the mansion with a mysterious and attractive couple. In this darkly hilarious and seductive horror story, a dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, bringing terrifying secrets to light and triggering a bloody battle for survival.",6.8352,/sGo5ti82LlydAZrvcsaj31iPuEI.jpg,2025-10-02,False,False,5.87,200
513,False,/ouOojiypBE6CD1aqcHPVq7cJf2R.jpg,"[53, 28]",578701,Those Who Wish Me Dead,en,Those Who Wish Me Dead,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.",6.8323,/xCEg6KowNISWvMh8GvPSxtdf9TO.jpg,2021-05-05,False,False,6.607,1849
514,False,/m7vBHmPQSokvN4hMQDxdJBdqAtJ.jpg,[35],1263256,Happy Gilmore 2,en,Happy Gilmore 2,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",6.8243,/E3dPHPJigkXwuiE0n1vzz0se8a.jpg,2025-07-25,False,False,6.547,954
515,False,/8cc4AypHsnqcCQeIIpNoh6Wrc5B.jpg,"[28, 35]",1160956,Panda Plan,zh,熊猫计划,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",6.8206,/8iMPQl13q89jQhaA5nXb6UiT0t0.jpg,2024-10-01,False,False,6.814,288
